Total API Calls: 418, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 418, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 418, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 418, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 418, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 474, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 474, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 494, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 514, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 526, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 544, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 544, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 544, Unique Users: 1, Average Response Time: 0ms
Total API Calls: 544, Unique Users: 1, Average Response Time: 0ms
